LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL
1_1_LT05_024030_19901115,9086,1990-11-15,-99,395.2282612622558,245.87564732332737,373.0400388459005,150.8990045203976,56.071094011021515,44.152543485811044,4023.772788473686,-99,l5,66,0,1990,492
1_1_LT05_024030_19910424,9086,1991-04-24,-99,219.56341138546176,127.20766112887665,231.37916941326577,132.32579477097042,39.5392688207858,39.04841815726251,4023.772788473686,-99,l5,66,0,1991,498
1_1_LT05_024030_19910627,9086,1991-06-27,-99,478.7164745929099,424.94668110793873,645.0540115414294,437.8859265792071,199.43980912295802,146.2847256989687,4279.557287135021,-99,l5,66,0,1991,539
1_1_LT05_024030_19910814,9086,1991-08-14,-99,542.3402110953773,357.37191479498284,607.854830310983,355.4244401838522,61.01216309389311,45.082096435729184,4224.641952780292,-99,l5,66,0,1991,503
1_1_LT05_024030_19911017,9086,1991-10-17,-99,353.7657345422871,239.71003126266527,426.7757183650195,248.46379983176212,89.99840261626541,80.75398567594246,4083.6166856271184,-99,l5,66,0,1991,509
1_1_LT05_024030_19911204,9086,1991-12-04,-99,1318.1859647140163,1011.9751637747012,1113.7445887445233,718.8773425335498,188.91899393065094,125.81494192755531,3862.0225029402313,-99,l5,66,0,1991,475
1_1_LT05_024030_19920613,9086,1992-06-13,-99,775.2563598903297,673.2674652476683,994.9014203612568,678.2609110523205,166.13122891194638,72.24393840352516,4251.046542136117,-99,l5,66,0,1992,534
1_1_LT05_024030_19920629,9086,1992-06-29,-99,914.9030648648298,830.2976883950796,1059.3697964669313,1057.9803589557446,234.20743165720498,110.35827872654156,4178.090499686262,-99,l5,66,0,1992,535
1_1_LT05_024030_19920715,9086,1992-07-15,-99,336.62900927055773,294.27720553470033,532.6416718624126,421.35514062503904,88.17485258501571,46.9426147936356,4242.914907066894,-99,l5,66,0,1992,541
1_1_LT05_024030_19920731,9086,1992-07-31,-99,408.41411280833387,348.0432765264428,526.6356460225231,589.4954352600188,114.77175433550985,46.9426147936356,4214.504206581241,-99,l5,66,0,1992,532
1_1_LT05_024030_19920816,9086,1992-08-16,-99,383.07345672930745,342.8636287624539,566.7066752780721,503.2240538029404,98.22402935770637,51.602150027144106,4224.641952780292,-99,l5,66,0,1992,541
1_1_LT05_024030_19920901,9086,1992-09-01,-99,318.5194178905299,307.6975085784021,446.7114015557924,463.20552857378107,134.24000581031504,55.33825296237175,4167.998408721434,-99,l5,66,0,1992,547
1_1_LT05_024030_19921003,9086,1992-10-03,-99,393.2013437907408,358.4088485941349,428.7684698814304,424.27093976889387,131.44810797320872,66.59176042629903,4178.090499686262,-99,l5,66,0,1992,530
